threshold,qlearning,hybrid
19.375,18.25,16.75
19.375,18.25,16.75
19.375,18.25,16.75
19.375,18.25,16.75
19.375,18.25,16.75
19.375,18.25,16.75
19.375,18.25,16.75
19.375,18.25,16.75
19.375,18.25,16.75
19.375,18.25,16.75
19.375,18.25,16.75
18.25,18.25,16.75
18.25,18.25,16.75
18.25,18.25,16.75
18.25,18.25,16.75
18.25,18.25,16.75
18.25,18.25,16.75
18.25,18.25,16.75
18.25,18.25,16.75
18.25,18.25,16.75
18.25,18.25,16.75
18.25,18.25,16.75
18.25,18.25,16.75
18.25,18.25,16.75
18.25,18.25,16.75
18.25,18.25,16.75
18.25,18.25,16.75
18.25,18.25,16.75
18.25,18.25,16.75
18.25,18.25,16.75
18.25,18.25,16.75
18.25,18.25,16.75
18.25,18.25,16.75
18.25,18.25,16.75
18.25,18.25,16.75
18.25,18.25,16.75
18.25,18.25,16.75
18.25,18.25,16.75
18.25,18.25,16.75
18.25,18.25,16.75
18.25,18.25,16.75
18.25,18.25,16.75
18.25,18.25,16.75
18.25,18.25,16.75
18.25,18.25,16.75
18.25,18.25,16.75
18.25,18.25,16.75
18.25,18.25,16.75
18.25,18.25,16.75
18.25,18.25,16.75
18.25,18.25,16.75
18.25,18.25,16.75
18.25,18.25,16.75
18.25,18.25,16.75
18.25,18.25,16.75
18.25,18.25,16.75
18.25,18.25,16.75
18.25,18.25,16.75
18.25,18.25,16.75
18.25,18.25,16.75
18.25,18.25,16.75
18.25,18.25,16.75
18.25,18.25,16.75
18.25,18.25,16.75
18.25,18.25,16.75
18.25,18.25,16.75
18.25,18.25,16.75
18.25,18.25,16.75
18.25,18.25,16.75
18.25,18.25,16.75
18.25,18.25,16.75
18.25,18.25,16.75
18.25,18.25,16.75
18.25,18.25,16.75
18.25,18.25,16.75
18.25,18.25,16.75
18.25,20.982093513617777,16.75
18.25,20.990328147757925,17.721882195827373
18.25,20.995739838329904,15.787408147531997
18.25,18.25,15.625
18.25,18.25,16.125
18.25,18.25,16.125
18.25,18.25,16.375
18.25,18.25,16.375
18.25,18.25,16.375
18.25,18.25,16.375
18.25,18.25,16.375
18.25,18.25,16.375
18.25,18.25,16.375
18.25,18.25,16.375
18.25,18.25,16.375
18.25,18.25,16.375
18.25,18.25,16.375
18.25,18.25,16.375
18.25,18.25,16.375
18.25,18.25,16.375
18.25,18.25,16.375
18.25,18.25,16.375
18.25,18.25,16.375
18.25,18.25,16.375
18.25,18.25,16.375
18.25,18.25,16.375
18.25,18.25,16.375
18.25,18.25,16.375
18.25,18.25,16.375
18.25,18.25,16.375
18.25,18.25,16.375
18.25,18.25,16.375
18.25,18.25,16.375
18.25,18.25,16.375
18.25,18.25,16.375
18.25,18.25,16.375
18.25,18.25,16.375
18.25,18.25,16.375
18.25,18.25,16.375
18.25,18.25,16.375
18.25,18.25,16.375
18.25,18.25,16.375
18.25,18.25,16.375
18.25,18.25,16.375
18.25,18.25,16.375
18.25,18.25,16.375
18.25,18.25,16.375
18.25,18.25,16.375
18.25,18.25,16.375
